Model,FOV,Cluster_Key,Gene,Gene_Purity
Baysor (NCV),7-8,n_cluster7,IL7R,0.6492748648416716
Baysor (NCV),7-8,n_cluster7,MS4A1,0.5658788252932357
Baysor (NCV),7-8,n_cluster7,TRAC,0.5379439003264708
Baysor (NCV),9-10,n_cluster5,CD19,0.8054701905347265
Baysor (NCV),9-10,n_cluster5,CD3E,0.8357484524479459
Baysor (NCV),9-10,n_cluster5,CD79A,0.6592325806898462
Baysor (NCV),9-10,n_cluster5,IL7R,0.854077417380661
Baysor (NCV),9-10,n_cluster5,MS4A1,0.7088716933597264
Baysor (NCV),9-10,n_cluster5,TRAC,0.7591778065258014
Baysor (NCV),9-10,n_cluster6,CD19,0.8041794714197911
Baysor (NCV),9-10,n_cluster6,CD3E,0.8343415869442882
Baysor (NCV),9-10,n_cluster6,CD79A,0.6578473472780163
Baysor (NCV),9-10,n_cluster6,IL7R,0.8533506731946144
Baysor (NCV),9-10,n_cluster6,MS4A1,0.707240117569432
Baysor (NCV),9-10,n_cluster6,TRAC,0.7576541612764123
Baysor (NCV),9-10,n_cluster7,CD19,0.6461585740626921
Baysor (NCV),9-10,n_cluster7,CD3E,0.8317388857625211
Baysor (NCV),9-10,n_cluster7,CD79A,0.4587338966615875
Baysor (NCV),9-10,n_cluster7,IL7R,0.851438188494492
Baysor (NCV),9-10,n_cluster7,MS4A1,0.49251994481434824
Baysor (NCV),9-10,n_cluster7,TRAC,0.7551818312491017
Cellpose,10-11,cluster_0.20,CD19,0.8463066816329956
Cellpose,10-11,cluster_0.20,CD3E,0.7197831273078918
Cellpose,10-11,cluster_0.20,CD79A,0.7150614261627197
Cellpose,10-11,cluster_0.20,IL7R,0.6697409749031067
Cellpose,10-11,cluster_0.20,MS4A1,0.6966224908828735
Cellpose,10-11,cluster_0.20,TRAC,0.5814040899276733
Cellpose,10-11,cluster_0.30,CD19,0.8415766954421997
Cellpose,10-11,cluster_0.30,CD3E,0.71247798204422
Cellpose,10-11,cluster_0.30,CD79A,0.7080627679824829
Cellpose,10-11,cluster_0.30,IL7R,0.655158281326294
Cellpose,10-11,cluster_0.30,MS4A1,0.6881070733070374
